,,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,GPM,XPM,Last Hits,Denies,Overall,In Wins,In Losses,Shift
Union Gaming,Union Gaming,8,1,7,12.50%,3,5,13.88,31.62,30.75,1654,1713,539,32,31:00:00,54:46:00,27:37:00,27:08:00
EHOME.X,EHOME.X,8,2,6,25.00%,5,3,23.62,28.38,58.88,1948,2009,672,26,36:55:00,37:44:00,36:39:00,1:04
Brodie,Brodie,7,4,3,57.14%,1,6,28,20.71,67,2180,2402,856,40,39:00:00,42:53:00,33:49:00,9:03
Infamous.NA,Infamous.NA,7,6,1,85.71%,4,3,37.14,25,63.29,2615,2574,665,34,32:05:00,32:10:00,31:32:00,0:38
Death Before Defeat,Death Before Defeat,7,3,4,42.86%,5,2,29.86,27.86,69.86,1958,2096,614,37,37:04:00,33:26:00,39:47:00,#VALUE!
Team NV,Team NV,7,5,2,71.43%,4,3,34.57,23.43,92.86,2084,2203,649,38,39:35:00,38:53:00,41:20:00,#VALUE!
MAD KINGS -E-SPORTS,MAD KINGS -E-SPORTS,7,2,5,28.57%,2,5,16.29,21.86,32.86,2067,1974,660,37,32:17:00,29:26:00,33:26:00,#VALUE!
Team Maven,Team Maven,7,3,4,42.86%,5,2,21.29,28.71,47.86,1821,2004,535,27,30:14:00,34:21:00,27:08:00,7:13
LW,LW,6,0,6,0.00%,3,3,9.33,35.83,21.33,1470,1540,265,14,19:58,-,19:58,-
Wings.Red,Wings.Red,6,0,6,0.00%,3,3,12.17,27,26.83,1582,1630,445,32,26:46:00,-,26:46:00,-
SAGE Network,SAGE Network,6,4,2,66.67%,2,4,48.17,31.67,104.33,2450,2752,925,42,44:27:00,34:10:00,1:05:02,#VALUE!
Troll Team-,Troll Team-,6,4,2,66.67%,3,3,22.67,19.5,46,2272,2196,525,29,26:20:00,25:45:00,27:29:00,#VALUE!
Wheel Whreck While Whistling,Wheel Whreck While Whistling,6,0,6,0.00%,2,4,12.33,26.5,28.67,1635,1775,549,22,29:58:00,-,29:58:00,-
,,6,0,6,0.00%,3,3,13.33,27.83,31.5,1615,1718,504,38,30:03:00,-,30:03:00,-
Intelligence Quotient xD,Intelligence Quotient xD,6,2,4,33.33%,4,2,24.5,31.67,51,1994,2245,636,40,32:25:00,29:47:00,33:44:00,#VALUE!
